pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,pull_price,item_nsu_hetero_type,corrected_weight,p_real,gpp,n_pairs,n_price,n_mun,gpp_loo,w_pred,ratio
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALAY,putos,79.5,mp25_price,250,79.5,3.144654088050315,40,10,7,2.720212041340042,216.2568572865333,.8650274291461334
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALAY,putos,120,mp50_price,500,120,4.166666666666667,40,10,7,2.720212041340042,326.4254449608051,.6528508899216101
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALINAO,pieces or units,6.75,province_median,28,6.75,4.148148148148148,35,3,5,3.555555555555555,24,.8571428571428571
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALINAO,pieces or units,6.75,province_median,30,6.75,4.444444444444445,35,3,5,3.555555555555555,24,.8
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALINAO,pieces or units,6.75,province_median,28,6.75,4.148148148148148,35,3,5,3.555555555555555,24,.8571428571428571
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALINAO,pieces or units,6.75,province_median,25,6.75,3.703703703703704,35,3,5,3.555555555555555,24,.96
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALINAO,pieces or units,6.75,province_median,48,6.75,7.111111111111111,35,3,5,3.555555555555555,24,.5
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALINAO,pieces or units,6.75,province_median,22,6.75,3.259259259259259,35,3,5,3.555555555555555,24,1.090909090909091
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALINAO,putos,60,municipality_median,300,60,5,59,8,9,4.615384615384615,276.9230769230769,.923076923076923
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALINAO,putos,110,municipality_median,250,110.9285736083984,2.253702466981622,40,10,7,3,332.7857208251953,1.331142883300781
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALINAO,putos,110,municipality_median,200,110.9285736083984,1.802961973585298,40,10,7,3,332.7857208251953,1.663928604125977
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALINAO,putos,110,municipality_median,200,110.9285736083984,1.802961973585298,40,10,7,3,332.7857208251953,1.663928604125977
