statistic,grouping,level,value
weight_raw_median,item | unit,Beef | grams (g),592.5
weight_raw_sd,item | unit,Beef | grams (g),425.38218110306406
weight_raw_min,item | unit,Beef | grams (g),510.0
weight_raw_max,item | unit,Beef | grams (g),1405.0
weight_raw_n,item | unit,Beer | Litres (L),2.0
weight_raw_mean,item | unit,Beer | Litres (L),4440.0
weight_raw_median,item | unit,Beer | Litres (L),4440.0
weight_raw_sd,item | unit,Beer | Litres (L),4582.051942088828
weight_raw_min,item | unit,Beer | Litres (L),1200.0
weight_raw_max,item | unit,Beer | Litres (L),7680.0
weight_raw_n,item | unit,Beer | grams (g),4.0
weight_raw_mean,item | unit,Beer | grams (g),500.0
weight_raw_median,item | unit,Beer | grams (g),500.0
weight_raw_sd,item | unit,Beer | grams (g),0.0
weight_raw_min,item | unit,Beer | grams (g),500.0
weight_raw_max,item | unit,Beer | grams (g),500.0
weight_raw_n,item | unit,Cabbage | Kilograms (Kgs),108.0
weight_raw_mean,item | unit,Cabbage | Kilograms (Kgs),229.12805555112385
weight_raw_median,item | unit,Cabbage | Kilograms (Kgs),1.20250004529953
weight_raw_sd,item | unit,Cabbage | Kilograms (Kgs),477.75842764135126
weight_raw_min,item | unit,Cabbage | Kilograms (Kgs),0.1550000011920929
weight_raw_max,item | unit,Cabbage | Kilograms (Kgs),1555.0
weight_raw_n,item | unit,Cabbage | grams (g),1317.0
weight_raw_mean,item | unit,Cabbage | grams (g),457.4027562639029
weight_raw_median,item | unit,Cabbage | grams (g),510.0
weight_raw_sd,item | unit,Cabbage | grams (g),336.6697491179181
weight_raw_min,item | unit,Cabbage | grams (g),0.06499999761581421
weight_raw_max,item | unit,Cabbage | grams (g),1595.0
weight_raw_n,item | unit,Camote | Kilograms (Kgs),13.0
weight_raw_mean,item | unit,Camote | Kilograms (Kgs),485.2580769245441
weight_raw_median,item | unit,Camote | Kilograms (Kgs),1.5399999618530273
weight_raw_sd,item | unit,Camote | Kilograms (Kgs),544.5013012731938
weight_raw_min,item | unit,Camote | Kilograms (Kgs),1.0
weight_raw_max,item | unit,Camote | Kilograms (Kgs),1095.0
weight_raw_n,item | unit,Camote | grams (g),578.0
weight_raw_mean,item | unit,Camote | grams (g),105.32173010405914
weight_raw_median,item | unit,Camote | grams (g),85.0
weight_raw_sd,item | unit,Camote | grams (g),121.73218924481307
weight_raw_min,item | unit,Camote | grams (g),0.03500000014901161
weight_raw_max,item | unit,Camote | grams (g),1085.0
weight_raw_n,item | unit,Camote tops | Kilograms (Kgs),26.0
weight_raw_mean,item | unit,Camote tops | Kilograms (Kgs),86.76192307013731
weight_raw_median,item | unit,Camote tops | Kilograms (Kgs),1.125
weight_raw_sd,item | unit,Camote tops | Kilograms (Kgs),303.1048083936654
weight_raw_min,item | unit,Camote tops | Kilograms (Kgs),0.13500000536441803
weight_raw_max,item | unit,Camote tops | Kilograms (Kgs),1170.0
weight_raw_n,item | unit,Camote tops | grams (g),533.0
weight_raw_mean,item | unit,Camote tops | grams (g),194.35797373353597
weight_raw_median,item | unit,Camote tops | grams (g),160.0
weight_raw_sd,item | unit,Camote tops | grams (g),210.19257540234304
weight_raw_min,item | unit,Camote tops | grams (g),0.10499999672174454
weight_raw_max,item | unit,Camote tops | grams (g),1280.0
weight_raw_n,item | unit,Carrot | Kilograms (Kgs),2.0
weight_raw_mean,item | unit,Carrot | Kilograms (Kgs),0.13750000298023224
weight_raw_median,item | unit,Carrot | Kilograms (Kgs),0.13750000298023224
weight_raw_sd,item | unit,Carrot | Kilograms (Kgs),0.0035355305341848568
weight_raw_min,item | unit,Carrot | Kilograms (Kgs),0.13500000536441803
weight_raw_max,item | unit,Carrot | Kilograms (Kgs),0.14000000059604645
weight_raw_n,item | unit,Carrot | grams (g),1198.0
weight_raw_mean,item | unit,Carrot | grams (g),103.28672036731022
weight_raw_median,item | unit,Carrot | grams (g),105.0
weight_raw_sd,item | unit,Carrot | grams (g),94.08137334815888
weight_raw_min,item | unit,Carrot | grams (g),0.03999999910593033
weight_raw_max,item | unit,Carrot | grams (g),700.0
weight_raw_n,item | unit,Chicken | Kilograms (Kgs),368.0
weight_raw_mean,item | unit,Chicken | Kilograms (Kgs),124.9926576074719
weight_raw_median,item | unit,Chicken | Kilograms (Kgs),1.2300000190734863
weight_raw_sd,item | unit,Chicken | Kilograms (Kgs),380.693054747935
weight_raw_min,item | unit,Chicken | Kilograms (Kgs),0.0
weight_raw_max,item | unit,Chicken | Kilograms (Kgs),1805.0
weight_raw_n,item | unit,Chicken | Litres (L),2.0
weight_raw_mean,item | unit,Chicken | Litres (L),0.4755874940310605
weight_raw_median,item | unit,Chicken | Litres (L),0.4755874940310605
weight_raw_sd,item | unit,Chicken | Litres (L),0.6709205832419417
weight_raw_min,item | unit,Chicken | Litres (L),0.0011749999830499291
weight_raw_max,item | unit,Chicken | Litres (L),0.949999988079071
weight_raw_n,item | unit,Chicken | grams (g),479.0
weight_raw_mean,item | unit,Chicken | grams (g),644.7205845519107
weight_raw_median,item | unit,Chicken | grams (g),785.0
weight_raw_sd,item | unit,Chicken | grams (g),505.538152272267
