id,pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,weight,unit,w1,w3,ratio,review_step1,cell_med,cell_n
9517.0,ILOILO,SANTA BARBARA,camote tops,bugkos,1.12,1,112.0,1120.0,10.0,0,195.0,408.0
9529.0,ILOILO,SANTA BARBARA,camote,bilog,0.28,2,28.0,280.0,10.0,1,125.0,413.0
9605.0,ILOILO,SANTA BARBARA,fresh fish,pieces or units,1.01,1,101.0,1010.0,10.0,1,375.0,590.0
9613.0,ILOILO,SANTA BARBARA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,0.65,2,65.0,650.0,10.0,0,85.0,232.0
9621.0,ILOILO,SANTA BARBARA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,0.3,2,30.0,300.0,10.0,0,60.0,173.0
9327.0,ILOILO,SAN MIGUEL,"crackers, cookies, buiscuits, chips/curls",pieces or units,0.3,2,30.0,300.0,10.0,0,31.0,453.0
9329.0,ILOILO,SAN MIGUEL,"crackers, cookies, buiscuits, chips/curls",pieces or units,120.0,2,12.0,120.0,10.0,1,31.0,453.0
1575.0,ANTIQUE,BARBAZA,camote,bilog,300.0,2,30.0,300.0,10.0,1,125.0,413.0
1578.0,ANTIQUE,BARBAZA,camote,bilog,340.0,2,34.0,340.0,10.0,1,125.0,413.0
1627.0,ANTIQUE,BARBAZA,fresh fish,pieces or units,1700.0,1,170.0,1700.0,10.0,0,375.0,590.0
2138.0,ANTIQUE,CULASI,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1.0,1,100.0,1000.0,10.0,1,250.0,432.0
2143.0,ANTIQUE,CULASI,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1.0,1,100.0,1000.0,10.0,1,250.0,432.0
9390.0,ILOILO,SAN RAFAEL,cabbage,pack,0.6,2,60.0,600.0,10.0,0,145.0,40.0
9407.0,ILOILO,SAN RAFAEL,camote,bilog,0.3,2,30.0,300.0,10.0,1,125.0,413.0
9434.0,ILOILO,SAN RAFAEL,"crackers, cookies, buiscuits, chips/curls",pieces or units,0.43,2,43.0,430.0,10.0,0,31.0,453.0
9435.0,ILOILO,SAN RAFAEL,"crackers, cookies, buiscuits, chips/curls",pieces or units,0.4,2,40.0,400.0,10.0,0,31.0,453.0
9443.0,ILOILO,SAN RAFAEL,"crackers, cookies, buiscuits, chips/curls",pieces or units,0.33,2,33.0,330.0,10.0,0,31.0,453.0
9456.0,ILOILO,SAN RAFAEL,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",cone,1.04,1,104.0,1040.0,10.0,0,110.0,36.0
1829.0,ANTIQUE,BELISON,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1.0,1,100.0,1000.0,10.0,1,250.0,432.0
1844.0,ANTIQUE,BUGASONG,camote,bilog,310.0,2,31.0,310.0,10.0,1,125.0,413.0
1905.0,ANTIQUE,BUGASONG,fresh fish,pieces or units,1590.0,2,159.0,1590.0,10.0,0,375.0,590.0
9177.0,ILOILO,SAN JOAQUIN,fresh fish,pieces or units,1.72,1,172.0,1720.0,10.0,0,375.0,590.0
9240.0,ILOILO,SAN JOAQUIN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pack,1020.0,1,102.0,1020.0,10.0,1,250.0,76.0
1972.0,ANTIQUE,BUGASONG,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1.2,1,120.0,1200.0,10.0,0,250.0,432.0
2015.0,ANTIQUE,CULASI,camote,bilog,390.0,2,39.0,390.0,10.0,0,125.0,413.0
2041.0,ANTIQUE,CULASI,"crackers, cookies, buiscuits, chips/curls",pieces or units,0.1,3,10.0,100.0,10.0,1,31.0,453.0
2233.0,ANTIQUE,HAMTIC,"crackers, cookies, buiscuits, chips/curls",balde,1.4,1,140.0,1400.0,10.0,0,400.0,1.0
9249.0,ILOILO,SAN JOAQUIN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,200.0,2,20.0,200.0,10.0,1,65.0,29.0
9250.0,ILOILO,SAN JOAQUIN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,250.0,2,25.0,250.0,10.0,0,65.0,29.0
9251.0,ILOILO,SAN JOAQUIN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,250.0,2,25.0,250.0,10.0,0,65.0,29.0
